,City,Country,Lat,Lng,Time,Max Temp,Humidity,Cloudiness,Wind Speed
82,Suntar,RU,62.14,117.63,1586636509,29.75,96,35,8.16
83,Butaritari,KI,3.07,172.79,1586636509,83.98,76,95,13.35
84,Yumen,CN,40.28,97.2,1586636509,45.43,23,100,5.01
85,Koceljeva,RS,44.47,19.81,1586636509,57.2,35,1,4.7
86,Mehendiganj,BD,22.82,90.53,1586636509,75.61,83,0,7.38
87,Dunedin,NZ,-45.87,170.5,1586636495,52.0,91,100,3.0
88,Hasaki,JP,35.73,140.83,1586636509,45.0,100,75,6.93
89,Arrondissement de Lannion,FR,48.75,-3.42,1586636510,60.8,81,0,1.12
90,Ushuaia,AR,-54.8,-68.3,1586636511,44.6,70,75,27.51
91,Olafsvik,IS,64.89,-23.71,1586636511,37.24,79,60,28.39
92,Saint Paul Harbor,US,57.79,-152.41,1586636322,41.0,75,90,17.22
93,Mehamn,NO,71.04,27.85,1586636511,20.98,92,85,4.47
94,Strezhevoy,RU,60.73,77.59,1586636511,39.2,97,99,6.71
95,Kahului,US,20.89,-156.47,1586636405,77.0,73,20,19.46
96,Saint Anthony,US,45.02,-93.22,1586636511,61.0,24,1,6.93
97,Micheweni,TZ,-4.97,39.83,1586636511,82.0,79,100,9.75
98,Chui,UY,-33.7,-53.46,1586636511,65.95,66,33,7.0
99,Narsaq,GL,60.92,-46.05,1586636512,48.2,26,100,36.91
100,Lavrentiya,RU,65.58,-171.0,1586636512,31.35,98,94,11.3
101,Virginia Beach,US,36.85,-75.98,1586636120,66.0,23,1,9.8
102,Klaksvík,FO,62.23,-6.59,1586636512,44.6,93,100,17.22
103,Laas,IT,46.62,10.7,1586636513,66.2,42,5,3.36
104,Lebu,CL,-37.62,-73.65,1586636513,57.85,55,0,16.91
105,Dehlorān,IR,32.69,47.27,1586636513,67.08,33,0,3.33
106,Mezen',RU,65.85,44.24,1586636513,17.87,96,15,4.45
107,Bambous Virieux,MU,-20.34,57.76,1586636323,78.01,83,75,16.11
108,Tessalit,ML,20.2,1.01,1586636513,84.04,11,0,4.94
109,Xining,CN,36.62,101.77,1586636492,34.81,25,4,1.48
110,Port Hardy,CA,50.7,-127.42,1586636514,46.4,81,20,5.82
111,Esperance,AU,-33.87,121.9,1586636514,68.0,64,98,19.46
112,Aginskoye,RU,51.1,114.53,1586636514,42.31,41,0,3.38
113,Bagdarin,RU,54.43,113.6,1586636514,33.12,57,33,1.99
114,New Norfolk,AU,-42.78,147.06,1586636323,50.0,61,90,4.7
115,Paamiut,GL,61.99,-49.67,1586636514,35.24,86,100,2.39
116,Vaini,TO,-21.2,-175.2,1586636514,75.2,78,20,2.24
117,Iberia,US,29.95,-91.75,1586636514,80.6,51,1,11.41
118,Salalah,OM,17.02,54.09,1586636515,82.4,74,40,10.29
119,Dutse,NG,11.76,9.34,1586636516,84.79,14,100,10.51
120,Isangel,VU,-19.55,169.27,1586636516,71.6,94,20,6.15
121,Chokurdakh,RU,70.63,147.92,1586636392,27.21,98,99,13.85
122,San Cristobal,VE,7.77,-72.22,1586636516,93.2,41,40,23.04
123,Lithakia,GR,37.72,20.83,1586636516,57.99,87,0,3.36
124,Khatanga,RU,71.97,102.5,1586636516,-1.05,93,32,8.01
125,Vostok,RU,46.49,135.88,1586636516,24.33,89,69,2.98
126,Bethel,US,41.37,-73.41,1586636516,55.0,27,75,10.29
127,Mount Isa,AU,-20.73,139.5,1586636516,68.0,22,7,10.29
128,Jamestown,US,42.1,-79.24,1586636422,48.0,52,20,14.99
129,East London,ZA,-33.02,27.91,1586636430,74.39,67,94,3.02
130,Shonguy,RU,68.75,33.15,1586636517,15.8,85,75,4.47
131,Nome,US,64.5,-165.41,1586636517,26.6,86,40,11.41
132,Bonthe,SL,7.53,-12.51,1586636517,82.65,75,89,8.08
133,Norman Wells,CA,65.28,-126.83,1586636517,26.6,68,75,13.87
134,San Patricio,MX,19.22,-104.7,1586636517,86.0,74,20,17.22
135,Keuruu,FI,62.27,24.7,1586636517,28.4,68,83,4.7
136,Denpasar,ID,-8.65,115.22,1586636517,82.4,83,40,2.24
137,Jardim,BR,-21.48,-56.14,1586636517,75.61,47,0,2.44
138,Taltal,CL,-25.4,-70.48,1586636517,68.65,65,25,6.93
139,Assesse,BE,50.37,5.02,1586636517,64.4,48,90,4.7
140,Itarantim,BR,-15.66,-40.07,1586636518,74.12,87,100,4.74
141,Ketchikan,US,55.34,-131.65,1586636416,48.2,31,1,17.22
142,São Filipe,CV,14.9,-24.5,1586636519,75.61,73,86,12.48
143,Shimoda,JP,34.67,138.95,1586636519,48.99,92,100,1.99
144,Hithadhoo,MV,-0.6,73.08,1586636326,84.56,65,0,6.38
145,Fort Nelson,CA,58.81,-122.7,1586636519,33.8,26,75,8.05
146,Kiryat Gat,IL,31.61,34.76,1586636224,59.0,82,40,5.82
147,Sapele,NG,5.89,5.68,1586636519,78.93,81,100,5.01
148,Cayenne,GF,4.93,-52.33,1586636520,84.2,66,75,11.41
149,Hofn,IS,64.25,-15.21,1586636520,37.26,79,92,20.11
150,Qaanaaq,GL,77.48,-69.36,1586636453,14.05,75,91,2.35
151,Karratha,AU,-20.74,116.85,1586636227,81.37,50,0,8.28
152,Bentiu,SS,9.23,29.83,1586636520,91.62,22,73,4.25
153,Mulegé,MX,26.88,-111.98,1586636520,69.17,45,0,8.19
154,Langham,CA,52.37,-106.97,1586636520,26.01,53,75,14.99
155,Smoky Lake,CA,54.12,-112.47,1586636520,24.22,85,100,15.5
156,Terrace,CA,54.52,-128.6,1586636360,46.4,26,5,12.75
157,Tunceli,TR,39.11,39.55,1586636287,50.0,39,0,1.12
158,Cidreira,BR,-30.18,-50.21,1586636521,67.53,67,4,7.14
159,Nouadhibou,MR,20.93,-17.03,1586636521,73.4,60,0,14.99
160,Sørland,NO,67.67,12.69,1586636521,35.38,78,100,12.19
161,Buin,CL,-33.73,-70.75,1586636521,68.0,56,90,5.82
162,Robertsport,LR,6.75,-11.37,1586636521,81.73,79,42,6.13
163,Hamilton,US,39.18,-84.53,1586636521,63.0,27,20,13.87
164,Avera,US,33.19,-82.53,1586636521,75.99,20,1,5.82
165,Poum,NC,-20.23,164.02,1586636454,79.09,71,50,11.65
166,Bull Savanna,JM,17.89,-77.59,1586636521,84.58,58,13,9.53
167,Yūbari,JP,43.04,141.96,1586636521,28.99,92,40,5.82
168,Scottsbluff,US,41.87,-103.67,1586636365,66.2,29,1,9.17
169,Tra Vinh,VN,9.93,106.35,1586636522,77.68,81,17,2.17
170,Raglan,NZ,-37.8,174.88,1586636522,60.01,95,14,6.2
171,Tuatapere,NZ,-46.13,167.68,1586636522,54.0,70,81,5.01
172,Coyhaique,CL,-45.58,-72.07,1586636371,51.8,53,40,5.82
173,Severnoye,RU,56.35,78.36,1586636522,31.66,94,93,6.31
174,Mēga,ET,4.05,38.3,1586636522,64.13,50,1,9.44
175,Dŭstí,TJ,37.35,68.66,1586636522,57.2,93,75,4.47
176,Sibu,MY,2.3,111.82,1586636522,77.0,94,75,3.36
177,Kaitangata,NZ,-46.28,169.85,1586636228,52.0,90,92,3.0
178,Oddur,SO,4.12,43.89,1586636523,77.9,66,21,15.37
179,Ayan,RU,56.45,138.17,1586636523,30.15,91,0,9.06
180,Cockburn Town,TC,21.46,-71.14,1586636280,80.69,69,0,10.11
181,Ulaangom,MN,49.98,92.07,1586636523,25.92,76,40,0.6
182,Thompson,CA,55.74,-97.86,1586636523,26.6,63,90,3.36
183,Tomatlán,MX,19.93,-105.25,1586636523,89.98,29,82,14.7
184,Dingle,PH,11.0,122.67,1586636523,76.33,78,10,5.44
185,Ubari,LY,26.59,12.78,1586636523,72.97,19,0,10.33
186,Bengkulu,ID,-3.8,102.27,1586636226,78.55,81,37,3.58
187,Road Town,VG,18.42,-64.62,1586636272,84.99,70,20,9.17
188,Leningradskiy,RU,69.38,178.42,1586636524,12.81,87,94,3.98
189,Pareora,NZ,-44.49,171.21,1586636524,51.01,97,100,10.83
190,Nikolskoye,RU,59.7,30.79,1586636524,32.0,94,5,4.47
191,Korla,CN,41.76,86.15,1586636524,59.0,42,46,3.0
192,George Town,MY,5.41,100.34,1586636389,84.2,83,20,1.12
193,Saint-Philippe,RE,-21.36,55.77,1586636323,75.2,83,20,5.82
194,Christchurch,NZ,-43.53,172.63,1586636364,64.0,76,30,9.17
195,Kalmunai,LK,7.42,81.82,1586636524,81.41,77,1,4.36
196,Kemijärvi,FI,66.71,27.43,1586636524,20.53,95,50,5.75
197,Taoudenni,ML,22.68,-3.98,1586636525,89.58,11,0,4.83
198,Copiapó,CL,-27.37,-70.33,1586636297,68.0,60,20,12.75
199,Provideniya,RU,64.38,-173.3,1586636525,31.89,94,100,4.63
200,Bairiki Village,KI,1.33,172.98,1586636525,84.2,79,40,6.93
201,Soyo,AO,-6.13,12.37,1586636525,80.62,86,98,4.23
202,Jutaí,BR,-5.18,-68.9,1586636525,82.47,86,79,2.13
203,Amahai,ID,-3.33,128.92,1586636525,79.48,77,0,3.89
204,Ribeira Grande,PT,38.52,-28.7,1586636525,64.4,77,20,3.36
205,Guaratinga,BR,-16.57,-39.57,1586636525,80.6,78,40,5.82
206,Chimoré,BO,-16.98,-65.13,1586636523,83.8,45,14,1.59
207,São João dos Patos,BR,-6.5,-43.7,1586636412,78.4,74,56,2.1
208,Constitución,CL,-35.33,-72.42,1586636527,60.35,65,60,13.62
209,Russell,US,32.35,-85.2,1586636527,75.2,27,1,5.82
210,Hay River,CA,60.82,-115.8,1586636527,17.6,57,40,8.05
211,Pangnirtung,CA,66.15,-65.71,1586636527,23.0,62,75,2.24
212,Zhangaözen,KZ,43.3,52.8,1586636527,45.86,54,64,10.92
213,Port-Cartier,CA,50.03,-66.87,1586636527,41.0,38,75,13.87
214,Tabou,CI,4.42,-7.35,1586636527,80.78,81,100,4.09
215,Broome,US,42.25,-75.83,1586636527,48.99,33,20,13.87
216,Fukuechō,JP,32.69,128.84,1586636527,55.02,88,100,19.73
217,Tiksi,RU,71.69,128.87,1586636528,13.08,93,37,17.74
218,San Policarpo,PH,12.18,125.51,1586636528,77.29,81,97,3.8
219,Vao,NC,-22.67,167.48,1586636528,76.19,74,27,15.46
220,Sitka,US,57.05,-135.33,1586636528,42.8,56,20,5.82
221,Colac,AU,-38.33,143.58,1586636530,53.01,99,79,1.01
222,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1586636530,26.6,73,40,2.24
223,Lebanon,US,36.21,-86.29,1586636504,69.01,18,1,11.41
224,Pevek,RU,69.7,170.31,1586636531,6.39,91,62,13.24
225,Margate,GB,51.38,1.39,1586636496,62.01,67,34,6.76
226,Khromtau,KZ,50.25,58.43,1586636532,37.85,64,0,5.06
227,Wajima,JP,37.4,136.9,1586636532,47.35,59,79,5.06
228,Tulun,RU,54.56,100.58,1586636532,29.48,84,48,3.6
229,Ainring,DE,47.82,12.95,1586636532,54.0,62,0,1.12
230,Edd,ER,13.93,41.69,1586636532,80.37,75,36,9.24
231,Marabu,MY,4.41,114.01,1586636532,75.2,100,75,3.36
232,Flinders,AU,-34.58,150.86,1586636532,54.0,61,0,13.87
233,Krasnosel'kup,RU,65.7,82.47,1586636533,35.76,97,100,20.56
234,Saldanha,ZA,-33.01,17.94,1586636533,62.6,88,98,10.29
235,San Carlos del Zulia,VE,9.0,-71.91,1586636533,92.48,53,100,1.1
236,Lata,PT,40.16,-8.33,1586636388,60.01,87,75,6.93
237,Zhigalovo,RU,54.81,105.16,1586636533,35.78,76,100,4.54
238,Adamantas,GR,36.73,24.43,1586636533,60.8,44,0,6.93
239,Port Elizabeth,ZA,-33.92,25.57,1586636372,59.0,72,89,4.7
240,Touros,BR,-5.2,-35.46,1586636533,84.2,74,20,10.29
241,Moree,AU,-29.47,149.85,1586636533,50.0,81,0,9.17
242,Médéa,DZ,36.26,2.75,1586636533,60.8,87,20,4.7
243,Gwadar,PK,25.12,62.33,1586636534,78.06,77,50,3.87
244,Duluth,US,46.78,-92.11,1586636534,55.4,32,40,9.17
245,Bobo-Dioulasso,BF,11.18,-4.3,1586636534,87.4,34,55,2.35
246,Beringovskiy,RU,63.05,179.32,1586636534,11.26,94,98,10.49
247,Cabo San Lucas,MX,22.89,-109.91,1586636534,78.01,55,75,20.8
248,Kiruna,SE,67.86,20.23,1586636534,24.8,68,76,9.17
249,Ballina,AU,-28.87,153.57,1586636534,62.01,93,0,13.15
250,Sokolo,ML,14.73,-6.12,1586636534,89.92,22,50,1.99
251,Chernyshevskiy,RU,63.01,112.47,1586636534,24.35,95,98,8.01
252,Ust'-Omchug,RU,61.15,149.63,1586636534,18.48,89,88,3.4
253,Chapais,CA,49.78,-74.85,1586636534,28.4,63,90,13.87
254,Roswell,US,34.02,-84.36,1586636387,73.0,22,1,6.51
255,Anadyr,RU,64.75,177.48,1586636534,3.2,84,9,15.66
256,Kuznechnoye,RU,61.12,29.87,1586636535,30.0,91,0,2.06
257,Bogale,MM,16.28,95.4,1586636535,73.09,96,100,6.62
258,Channel-Port aux Basques,CA,47.57,-59.14,1586636436,31.77,95,99,25.17
259,Henties Bay,NA,-22.12,14.28,1586636536,70.0,77,5,1.99
260,Ilhabela,BR,-23.78,-45.36,1586636536,72.45,63,39,5.97
261,Odda,NO,60.07,6.55,1586636537,45.0,92,100,8.01
262,Alexandria,EG,31.22,29.96,1586636496,64.4,63,0,5.82
263,Birao,CF,10.28,22.79,1586636537,87.15,11,99,3.96
264,Anklam,DE,53.86,13.69,1586636537,48.0,76,100,1.01
265,Santoña,ES,43.44,-3.46,1586636537,57.99,100,90,4.7
266,Nelidovo,RU,56.22,32.78,1586636538,32.02,85,34,6.04
267,Bullhead City,US,35.15,-114.57,1586636538,71.6,53,40,5.82
268,Athabasca,CA,54.72,-113.29,1586636538,27.46,79,99,14.29
269,Itarema,BR,-2.92,-39.92,1586636538,80.35,84,100,6.38
270,Karaton,ID,-6.34,106.1,1586636538,78.8,88,20,3.36
271,Skjervøy,NO,70.03,20.97,1586636538,32.23,95,100,13.13
272,Bara,NG,10.37,10.73,1586636538,86.2,14,100,4.03
273,Talnakh,RU,69.49,88.4,1586636538,35.6,80,75,29.08
274,Bandarbeyla,SO,9.49,50.81,1586636538,81.72,73,16,10.22
275,Praia,CV,14.92,-23.51,1586636400,82.4,51,70,11.41
276,Eyl,SO,7.98,49.82,1586636538,82.8,73,7,11.39
277,Keffi,NG,8.85,7.87,1586636538,86.0,51,88,8.05
278,Polovinnoye,RU,54.79,65.99,1586636538,39.7,74,100,6.08
279,Longyearbyen,SJ,78.22,15.64,1586636539,-4.0,70,20,4.7
280,Aksarka,RU,66.56,67.8,1586636539,10.72,91,0,4.45
281,Vardø,NO,70.37,31.11,1586636539,27.61,89,61,4.99
282,Tabuk,PH,17.42,121.44,1586636539,71.67,84,10,0.96
283,New Braunfels,US,29.7,-98.12,1586636014,77.0,78,90,13.87
284,Guerrero Negro,MX,27.98,-114.06,1586636539,67.06,49,10,17.31
285,Rumoi,JP,43.93,141.64,1586636540,31.17,87,0,3.2
286,Yeppoon,AU,-23.13,150.73,1586636540,71.6,94,95,3.36
287,Vila Velha,BR,-20.33,-40.29,1586636540,79.0,83,75,9.17
288,Ko Samui,TH,9.54,99.94,1586636540,84.15,70,20,9.51
289,Katsuura,JP,35.13,140.3,1586636540,50.0,93,75,13.87
290,Lagoa,PT,39.05,-27.98,1586636389,61.66,75,0,10.47
291,Östersund,SE,63.18,14.64,1586636540,37.4,74,100,13.87
292,Vanavara,RU,60.34,102.28,1586636540,25.45,95,0,3.31
293,Kavieng,PG,-2.57,150.8,1586636540,83.55,73,99,4.92
294,Orsk,RU,51.2,58.57,1586636540,33.8,86,66,2.24
295,Mocuba,MZ,-16.84,36.99,1586636540,66.47,88,25,1.19
296,Lompoc,US,34.64,-120.46,1586636540,70.0,67,1,13.87
297,Bac Lieu,VN,9.29,105.72,1586636541,79.83,75,3,5.99
298,Perth,AU,-31.93,115.83,1586636455,73.0,83,100,3.36
299,Oranjestad,AW,12.52,-70.03,1586636300,86.0,70,40,25.28
300,Pimentel,PE,-6.84,-79.93,1586636541,66.2,29,32,21.92
301,Tegul'det,RU,57.31,88.17,1586636541,29.98,95,0,4.36
302,Cap Malheureux,MU,-19.98,57.61,1586636541,78.01,83,75,16.11
303,Dawson Creek,CA,55.77,-120.24,1586636541,33.8,34,1,9.17
304,Aklavik,CA,68.22,-135.01,1586636541,15.8,66,20,9.17
305,Ji’an,CN,27.12,114.98,1586636541,49.69,82,73,6.62
306,Quelimane,MZ,-17.88,36.89,1586636541,75.2,88,20,0.63
307,Pineville,US,31.32,-92.43,1586636541,78.01,47,1,9.17
308,Roald,NO,62.58,6.13,1586636541,50.0,66,100,14.99
309,Nuuk,GL,64.18,-51.72,1586636396,35.6,74,75,14.99
310,Chara,RU,56.91,118.26,1586636541,33.85,59,100,2.04
311,Srandakan,ID,-7.94,110.25,1586636542,78.01,78,92,2.53
312,Adrar,MR,20.5,-10.07,1586636542,85.59,12,0,10.56
313,Malazgirt,TR,39.14,42.54,1586636542,37.49,41,5,2.73
314,Solnechnyy,RU,50.72,136.63,1586636542,32.99,78,43,2.57
315,Kumul,CN,42.8,93.45,1586636542,54.34,21,54,4.45
316,Urgut,UZ,39.4,67.24,1586636542,59.0,77,40,9.17
317,Townsville,AU,-19.25,146.8,1586636287,77.0,88,99,3.36
318,Bismarck,US,46.81,-100.78,1586636252,37.99,40,40,18.34
319,Atasū,KZ,48.68,71.64,1586636542,42.3,52,82,9.19
320,Hwange,ZW,-18.37,26.5,1586636542,68.56,58,94,1.23
321,Le Marin,MQ,14.47,-60.87,1586636542,86.0,58,37,12.75
322,Skibbereen,IE,51.55,-9.27,1586636542,59.0,67,20,9.17
323,Sola,VU,-13.88,167.55,1586636542,80.82,72,45,12.41
324,Laguna,US,38.42,-121.42,1586636543,66.0,72,75,9.17
325,Vilyuysk,RU,63.76,121.62,1586636543,29.97,97,99,9.78
326,Acarí,PE,-15.43,-74.62,1586636543,79.0,57,30,7.36
327,Newport,GB,51.59,-3.0,1586636543,62.6,51,0,6.93
328,Santa Cruz de la Sierra,BO,-17.8,-63.17,1586636540,87.8,33,0,6.93
329,Aleksandrovsk,RU,59.16,57.56,1586636543,34.0,100,100,4.0
330,‘Āhuimanu,US,21.44,-157.84,1586636543,82.4,54,20,5.82
331,Hualmay,PE,-11.1,-77.61,1586636543,77.05,66,36,9.98
332,Harboøre,DK,56.62,8.18,1586636543,46.0,81,89,12.75
333,Alto Araguaia,BR,-17.31,-53.22,1586636543,75.61,68,14,3.31
334,Ancud,CL,-41.87,-73.82,1586636544,53.6,62,20,4.7
335,Sikasso,ML,10.92,-7.0,1586636511,89.67,28,81,4.16
336,Ambilobe,MG,-13.2,49.05,1586636544,73.67,84,0,4.72
337,Tsimmerbude,RU,54.67,20.13,1586636544,39.2,55,100,6.71
338,Beyneu,KZ,45.32,55.2,1586636544,50.92,48,39,4.32
339,Safi,MA,32.3,-9.24,1586636544,62.53,81,90,14.14
340,Kavaratti,IN,10.57,72.64,1586636392,84.34,68,0,3.31
341,Impfondo,CG,1.64,18.07,1586636544,72.05,89,100,2.73
342,Benīganj,IN,27.28,80.45,1586636544,81.23,22,0,5.99
343,Kailua,US,21.4,-157.74,1586636530,82.4,54,20,5.82
344,Mossamedes,AO,-15.2,12.15,1586636544,77.59,61,0,3.62
345,Ferrol,ES,43.48,-8.24,1586636544,55.99,93,75,2.24
346,Alto Longá,BR,-5.25,-42.21,1586636544,79.09,83,76,1.14
347,Senneterre,CA,48.38,-77.23,1586636545,35.6,47,40,10.29
348,Beibei,CN,29.83,106.43,1586636545,59.0,87,17,2.57
349,Okato,NZ,-39.2,173.88,1586636545,59.0,84,54,8.01
350,Pisco,PE,-13.7,-76.22,1586636545,73.0,30,0,8.05
351,Souillac,MU,-20.52,57.52,1586636547,78.01,83,75,16.11
352,Deyang,CN,31.13,104.38,1586636547,61.0,1,3,2.91
353,Sande,DE,53.5,8.01,1586636547,55.99,50,99,4.7
354,Shimokizukuri,JP,40.81,140.39,1586636547,39.99,97,56,3.0
355,Hebi,CN,35.9,114.19,1586636547,48.51,42,0,6.76
356,Malanje,AO,-9.54,16.34,1586636547,65.53,70,92,2.66
357,Tura,IN,25.52,90.22,1586636547,72.18,32,0,4.45
358,Loukhi,RU,66.08,33.04,1586636548,21.15,94,29,5.73
359,Boma,GH,7.08,-2.17,1586636548,77.77,76,41,3.24
360,Alekseyevsk,RU,57.84,108.35,1586636548,29.19,94,100,1.86
361,Waipawa,NZ,-41.41,175.52,1586636548,60.01,82,55,21.92
362,Otjiwarongo,NA,-20.46,16.65,1586636548,66.2,72,98,1.12
363,Coquimbo,CL,-29.95,-71.34,1586636550,62.6,72,85,8.05
364,Arcata,US,40.87,-124.08,1586636550,59.0,81,90,11.41
365,Misratah,LY,32.38,15.09,1586636550,61.74,60,0,14.34
366,Mount Gambier,AU,-37.83,140.77,1586636255,51.8,71,90,6.93
367,Simao,CN,22.79,100.97,1586636550,62.85,33,88,0.83
368,Faanui,PF,-16.48,-151.75,1586636550,82.6,77,56,12.66
369,Miandrivazo,MG,-19.52,45.47,1586636550,77.97,79,99,0.63
370,Pemangkat,ID,1.17,108.97,1586636550,76.6,86,76,7.07
371,Auki,SB,-8.77,160.7,1586636550,82.22,75,95,3.4
372,Mindelo,CV,16.89,-24.98,1586636551,75.2,73,75,14.99
373,Khanpur,PK,28.65,70.66,1586636552,84.92,27,87,3.04
374,Ribeira Brava,PT,32.65,-17.07,1586636552,62.6,77,75,13.87
